date,ph
04/14/2016 07:04:44,8.0042
04/14/2016 07:09:45,7.9985
04/14/2016 07:14:46,7.9965
04/14/2016 07:19:47,7.9967
04/14/2016 07:24:48,7.995
04/14/2016 07:29:49,7.9929
04/14/2016 07:34:50,7.9871
04/14/2016 07:39:51,7.9847
04/14/2016 07:44:52,7.9838
04/14/2016 07:49:53,7.9823
04/14/2016 07:54:54,7.9802
04/14/2016 07:59:56,7.9762
04/14/2016 08:04:56,7.9749
04/14/2016 08:09:57,7.9706
04/14/2016 08:14:58,7.9677
04/14/2016 08:20:00,7.9674
04/14/2016 08:25:01,7.9633
04/14/2016 08:30:02,7.963
04/14/2016 08:35:03,7.9538
04/14/2016 08:40:04,7.9569
04/14/2016 08:45:05,7.9504
04/14/2016 08:50:06,7.9537
04/14/2016 08:55:07,7.9493
04/14/2016 09:00:08,7.9491
04/14/2016 09:05:09,7.9432
04/14/2016 09:10:10,7.9425
04/14/2016 09:15:11,7.9384
04/14/2016 09:20:12,7.9357
04/14/2016 09:25:13,7.9378
04/14/2016 09:30:14,7.9368
04/14/2016 09:35:15,7.9284
04/14/2016 09:45:17,7.9287
04/14/2016 09:50:18,7.9278
04/14/2016 09:55:19,7.9255
04/14/2016 10:00:20,7.9225
04/14/2016 10:05:21,7.9186
04/14/2016 10:10:22,7.9197
04/14/2016 10:15:23,7.9172
04/14/2016 10:20:24,7.9147
04/14/2016 10:25:25,7.9125
04/14/2016 10:38:38,7.9066
04/14/2016 10:43:39,7.9049
04/14/2016 10:48:40,7.9036
04/14/2016 10:53:41,7.9036
04/14/2016 10:58:42,7.9014
04/14/2016 11:03:43,7.8969
04/14/2016 11:08:44,7.8937
04/14/2016 11:13:45,7.8896
04/14/2016 11:18:46,7.8924
04/14/2016 11:23:48,7.8946
04/14/2016 11:28:48,7.8934
04/14/2016 11:33:49,7.8888
04/14/2016 11:38:50,7.8909
04/14/2016 11:43:51,7.8895
04/14/2016 11:48:52,7.8883
04/14/2016 11:53:53,7.8894
04/14/2016 11:58:55,7.8872
04/14/2016 12:03:55,7.8854
04/14/2016 12:08:57,7.8846
04/14/2016 12:13:58,7.8827
04/14/2016 12:18:59,7.8826
04/14/2016 12:24:00,7.8836
04/14/2016 12:29:01,7.8816
04/14/2016 12:34:02,7.879
04/14/2016 12:39:03,7.8787
04/14/2016 12:44:04,7.8779
04/14/2016 12:49:05,7.8811
04/14/2016 12:54:06,7.8819
04/14/2016 12:59:07,7.8783
04/14/2016 13:04:08,7.8779
04/14/2016 13:09:09,7.876
04/14/2016 13:14:10,7.878
04/14/2016 13:19:11,7.8803
04/14/2016 13:24:12,7.8804
04/14/2016 13:29:13,7.8805
04/14/2016 13:34:14,7.8824
04/14/2016 13:39:15,7.881
04/14/2016 13:44:16,7.8821
04/14/2016 13:49:17,7.8878
04/14/2016 13:54:18,7.8899
04/14/2016 13:59:19,7.8913
04/14/2016 14:04:20,7.8902
04/14/2016 14:09:21,7.8936
04/14/2016 14:14:22,7.8953
04/14/2016 14:19:23,7.8979
04/14/2016 14:24:24,7.9009
04/14/2016 14:29:25,7.8999
04/14/2016 14:34:26,7.9025
04/14/2016 14:39:27,7.9033
04/14/2016 14:44:28,7.911
04/14/2016 14:49:29,7.9113
04/14/2016 14:54:30,7.9123
04/14/2016 14:59:31,7.9123
04/14/2016 15:04:32,7.9133
04/14/2016 15:09:33,7.9127
04/14/2016 15:14:34,7.9226
04/14/2016 15:19:35,7.9278
04/14/2016 15:24:36,7.9289
04/14/2016 15:29:37,7.9323
04/14/2016 15:34:38,7.938
04/14/2016 15:39:39,7.9397
04/14/2016 15:44:40,7.9478
04/14/2016 15:49:41,7.9522
04/14/2016 15:54:42,7.9568
04/14/2016 15:59:43,7.9563
04/14/2016 16:04:44,7.9589
04/14/2016 16:09:45,7.9592
04/14/2016 16:14:46,7.9714
04/14/2016 16:19:47,7.9799
04/14/2016 16:24:49,7.9853
04/14/2016 16:29:49,7.9838
04/14/2016 16:34:51,7.9857
04/14/2016 16:39:51,7.9915
04/14/2016 16:44:53,7.9986
04/14/2016 16:49:54,8.0011
04/14/2016 16:54:54,8.0035
04/14/2016 16:59:55,8.0031
04/14/2016 17:04:57,8.0065
04/14/2016 17:09:58,8.0104
04/14/2016 17:14:59,8.0164
